word,definition,lvl1,lvl2,lvl3,entity_type,context_tag
คู่ต่อสู้,บุคคลที่มีบทบาทในการต่อสู้หรือแข่งขันกับตัวละครหลัก,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,นามานุกรมและประเภทตัวละคร,ตัวละครหลักและบทบาทในบทละคร,character,performing_arts
เจ้าหญิง,หญิงที่มีฐานันดรศักดิ์สูงในสังคม,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,สถานภาพและลำดับชั้นทางสังคมในวรรณกรรม,ฐานันดรศักดิ์และระบบเครือญาติ,concept,general
เชษฐา,พี่ชายในบริบทของความสัมพันธ์ทางครอบครัว,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,สถานภาพและลำดับชั้นทางสังคมในวรรณกรรม,ฐานันดรศักดิ์และระบบเครือญาติ,concept,general
อินทราภิเษก,ชื่อของเทพในวรรณกรรมไทยที่มีบทบาทสำคัญ,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,นามานุกรมและประเภทตัวละคร,เทวปกรณ์ อสูร และอมนุษย์,character,performing_arts
จับนาง,การกระทำที่เกี่ยวข้องกับการจับตัวหญิงสาวในบริบทของวรรณกรรม,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,นามานุกรมและประเภทตัวละคร,เทวปกรณ์ อสูร และอมนุษย์,character,performing_arts
ขุนช้าง,ตัวละครหลักในวรรณกรรมที่มีบทบาทสำคัญ,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,นามานุกรมและประเภทตัวละคร,ตัวละครหลักและบทบาทในบทละคร,character,performing_arts
ติดมือ,การกระทำที่เกี่ยวข้องกับการถือหรือเก็บสิ่งของ,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,นามานุกรมและประเภทตัวละคร,เทวปกรณ์ อสูร และอมนุษย์,character,performing_arts
ศรนาคบาศ,อาวุธที่มีความสำคัญในวรรณกรรมไทย,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,นามานุกรมและประเภทตัวละคร,เทวปกรณ์ อสูร และอมนุษย์,character,performing_arts
ตารีบุหงา,ชื่อของตัวละครในวรรณกรรมที่มีบทบาทสำคัญ,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,นามานุกรมและประเภทตัวละคร,ตัวละครหลักและบทบาทในบทละคร,character,performing_arts
ปรศุราม,ตัวละครในวรรณกรรมที่มีบทบาทสำคัญ,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,นามานุกรมและประเภทตัวละคร,ตัวละครหลักและบทบาทในบทละคร,character,performing_arts
เครื่องแบบ,ชุดที่ใช้ในการแสดงหรือพิธีกรรม,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง,พัสตราภรณ์และเครื่องแต่งกาย,ระเบียบการแต่งกายและอาวุธจำลอง,artifact,material_culture
เพลงกลม,ประเภทของเพลงที่มีทำนองกลมกลืน,ศิลปะการแสดงและดนตรี,ดุริยางคศิลป์และคีตศิลป์,ระเบียบวิธีทางดนตรีและประเภทบทเพลง,music,performing_arts
สีทอง,สีที่มีความหมายถึงความมั่งคั่งและอำนาจ,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง,วัสดุและอัญมณี,วัสดุธรรมชาติและรัตนชาติ,artifact,material_culture
ปราชัย,การแพ้ในการแข่งขันหรือการต่อสู้,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,นามานุกรมและประเภทตัวละคร,เทวปกรณ์ อสูร และอมนุษย์,character,performing_arts
นครพนม,ชื่อสถานที่ในประเทศไทยที่มีความสำคัญทางประวัติศาสตร์,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่,ภูมิศาสตร์และอาณาบริเวณ,เขตปกครองและภูมิภาค,place,historical_spatial
จีนรำพัด,การแสดงที่ใช้พัดเป็นอุปกรณ์ประกอบในการรำ,ศิลปะการแสดงและดนตรี,นาฏยศิลป์และการแสดง,รูปแบบการแสดงและนาฏศิลป์ท้องถิ่น,music,performing_arts
สวามี,คำเรียกผู้เป็นสามีในบริบททางศาสนาและวรรณกรรม,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,นามานุกรมและประเภทตัวละคร,ตัวละครหลักและบทบาทในบทละคร,character,performing_arts
ไทยจิตรลดา,ชื่อของพระราชวังที่สำคัญในประเทศไทย,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่,พื้นที่ทางวัฒนธรรมและสถาบัน,สถานที่จัดแสดงและเขตพระราชฐาน,place,historical_spatial
เถิดเทิง,คำที่ใช้เรียกความสนุกสนานหรือความรื่นเริง,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม,จารีตประเพณีและพิธีกรรม,พิธีการสำคัญและจารีตทางสังคม,ritual,ritual_belief
ระดับชาติ,คำที่ใช้บ่งบอกถึงความสำคัญในระดับประเทศ,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่,ภูมิศาสตร์และอาณาบริเวณ,เขตปกครองและภูมิภาค,place,historical_spatial
อนุชา,คำเรียกน้องชายในบริบททางสังคม,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,สถานภาพและลำดับชั้นทางสังคมในวรรณกรรม,ฐานันดรศักดิ์และระบบเครือญาติ,concept,general
ตัวต่อตัว,การพบกันแบบตรงๆ ระหว่างบุคคลสองคน,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต,วิถีชีวิตและพฤติกรรมทางสังคม,จารีตการปฏิบัติและพรรณไม้ในวิถีชีวิต,community,community_life
อิเหนา,ตัวละครในวรรณกรรมที่มีชื่อเสียงในวรรณคดีไทย,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,นามานุกรมและประเภทตัวละคร,ตัวละครหลักและบทบาทในบทละคร,character,performing_arts
แต่งกายยืนเครื่องพระ,การแต่งกายที่ใช้ในพิธีกรรมทางศาสนา,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม,จารีตประเพณีและพิธีกรรม,พิธีการสำคัญและจารีตทางสังคม,ritual,ritual_belief
พลับพลา,อาคารหรือสถานที่ที่ใช้ในการจัดพิธีกรรม,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง,สถาปัตยกรรมและพุทธศิลป์,ศาสนสถานและปูชนียวัตถุ,artifact,material_culture
ผีภู,สิ่งศักดิ์สิทธิ์ในความเชื่อของคนไทย,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม,ระบบความเชื่อและศาสนา,คติทางศาสนาและสิ่งศักดิ์สิทธิ์,deity,ritual_belief
สุครีพ,ตัวละครในวรรณกรรมที่มีบทบาทสำคัญ,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,นามานุกรมและประเภทตัวละคร,ตัวละครหลักและบทบาทในบทละคร,character,performing_arts
วาจา,คำพูดหรือการสื่อสารที่มีความหมาย,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต,วิถีชีวิตและพฤติกรรมทางสังคม,จารีตการปฏิบัติและพรรณไม้ในวิถีชีวิต,community,community_life
ขับลำ,การร้องเพลงหรือการแสดงที่มีทำนอง,ศิลปะการแสดงและดนตรี,ดุริยางคศิลป์และคีตศิลป์,ระเบียบวิธีทางดนตรีและประเภทบทเพลง,music,performing_arts
ไหว้ครู,พิธีกรรมที่แสดงความเคารพต่อครูบาอาจารย์,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม,จารีตประเพณีและพิธีกรรม,พิธีการสำคัญและจารีตทางสังคม,ritual,ritual_belief
แต่งตัว,การเลือกสวมใส่เสื้อผ้าและเครื่องประดับเพื่อความสวยงาม,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง,พัสตราภรณ์และเครื่องแต่งกาย,ระเบียบการแต่งกายและอาวุธจำลอง,artifact,material_culture
หญิงสาว,ผู้หญิงที่อยู่ในวัยหนุ่มสาว,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต,อัตลักษณ์ทางสังคมและกลุ่มคน,กลุ่มชาติพันธุ์และชุมชนท้องถิ่น,community,community_life
ศิลปะป้องกันตัว,การฝึกฝนทักษะเพื่อป้องกันตนเองจากการถูกทำร้าย,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต,วิถีชีวิตและพฤติกรรมทางสังคม,จารีตการปฏิบัติและพรรณไม้ในวิถีชีวิต,community,community_life
นักษัตร,ผู้ที่มีความรู้เกี่ยวกับการดูดาวและการคำนวณเวลา,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่,ภูมิศาสตร์และอาณาบริเวณ,เขตปกครองและภูมิภาค,place,historical_spatial
ชุมนุม,การรวมตัวของกลุ่มคนเพื่อวัตถุประสงค์บางอย่าง,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต,โครงสร้างสังคมและบุคคลสำคัญ,ฐานันดรศักดิ์และบทบาททางสังคม,community,community_life
วิรุณจำบัง,ชื่อของเทพในวรรณกรรมไทยที่เกี่ยวข้องกับการเกษตร,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,นามานุกรมและประเภทตัวละคร,เทวปกรณ์ อสูร และอมนุษย์,character,performing_arts
สี่ภาค,การแบ่งภูมิประเทศของประเทศไทยออกเป็นสี่ภูมิภาค,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่,ภูมิศาสตร์และอาณาบริเวณ,เขตปกครองและภูมิภาค,place,historical_spatial
พระพุทธรูป,รูปปั้นหรือภาพของพระพุทธเจ้าในศาสนาพุทธ,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง,สถาปัตยกรรมและพุทธศิลป์,ศาสนสถานและปูชนียวัตถุ,artifact,material_culture
สุรินทร์,ชื่อจังหวัดหนึ่งในประเทศไทยที่มีวัฒนธรรมเฉพาะ,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่,ภูมิศาสตร์และอาณาบริเวณ,เขตปกครองและภูมิภาค,place,historical_spatial
ภูเขา,พื้นที่สูงที่เกิดจากการยกตัวของเปลือกโลก,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่,ภูมิศาสตร์และอาณาบริเวณ,เขตปกครองและภูมิภาค,place,historical_spatial
เข้าเฝ้า,การเข้าไปพบหรือกราบไหว้ผู้มีอำนาจหรือผู้สูงศักดิ์,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม,จารีตประเพณีและพิธีกรรม,พิธีการสำคัญและจารีตทางสังคม,ritual,ritual_belief
วาดภาพ,การสร้างภาพโดยใช้วัสดุเช่นสีหรือดินสอ,ศิลปะการแสดงและดนตรี,นาฏยศิลป์และการแสดง,กระบวนท่ารำและจารีตการแสดง,music,performing_arts
เพลงรำซิมารำ,เพลงที่ใช้ประกอบการรำในวัฒนธรรมไทย,ศิลปะการแสดงและดนตรี,ดุริยางคศิลป์และคีตศิลป์,ระเบียบวิธีทางดนตรีและประเภทบทเพลง,music,performing_arts
ฝั่งน้ำ,พื้นที่ที่อยู่ติดกับน้ำ เช่น แม่น้ำหรือทะเล,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่,ภูมิศาสตร์และอาณาบริเวณ,เขตปกครองและภูมิภาค,place,historical_spatial
มือเปล่า,การทำสิ่งใดสิ่งหนึ่งโดยไม่มีอุปกรณ์หรือเครื่องมือ,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต,วิถีชีวิตและระบบเศรษฐกิจ,การประกอบอาชีพและโภชนาการ,community,community_life
