word,definition,lvl1,lvl2,lvl3,entity_type,context_tag
คู่ต่อสู้,ผู้ที่เข้าสู้รบหรือแข่งขันกันในบทละครหรือการแสดง,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,นามานุกรมและประเภทตัวละคร,ตัวละครหลักและบทบาทในบทละคร,character,performing_arts
เจ้าหญิง,พระราชธิดาหรือสตรีในราชวงศ์ชั้นสูงในเนื้อเรื่อง,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,สถานภาพและลำดับชั้นทางสังคมในวรรณกรรม,ฐานันดรศักดิ์และระบบเครือญาติ,concept,general
เชษฐา,พี่ชาย หรือคำเรียกพี่ชายในระบบเครือญาติ,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,สถานภาพและลำดับชั้นทางสังคมในวรรณกรรม,ฐานันดรศักดิ์และระบบเครือญาติ,concept,general
อินทราภิเษก,พระราชพิธีราชาภิเษกที่เชื่อว่าพระอินทร์มาประทานมงกุฎให้,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม,จารีตประเพณีและพิธีกรรม,พิธีการสำคัญและจารีตทางสังคม,ritual,ritual_belief
จับนาง,กระบวนท่ารำในการแสดงโขนละครที่ตัวเอกไล่จับตัวนาง,ศิลปะการแสดงและดนตรี,นาฏยศิลป์และการแสดง,กระบวนท่ารำและจารีตการแสดง,music,performing_arts
ขุนช้าง,ตัวละครเอกที่มีลักษณะหัวล้านในวรรณคดีเรื่องขุนช้างขุนแผน,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,นามานุกรมและประเภทตัวละคร,ตัวละครหลักและบทบาทในบทละคร,character,performing_arts
ติดมือ,ทักษะหรือความคล่องแคล่วในการบรรเลงเครื่องดนตรี,ศิลปะการแสดงและดนตรี,บุคลากรและทักษะทางศิลปะ,กลวิธีและสมรรถนะการแสดง,music,performing_arts
ศรนาคบาศ,อาวุธวิเศษที่เป็นบ่วงนาคในวรรณคดีรามเกียรติ์,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง,พัสตราภรณ์และเครื่องแต่งกาย,ระเบียบการแต่งกายและอาวุธจำลอง,artifact,material_culture
ตารีบุหงา,ระบำพัดซึ่งเป็นการแสดงพื้นเมืองภาคใต้,ศิลปะการแสดงและดนตรี,นาฏยศิลป์และการแสดง,รูปแบบการแสดงและนาฏศิลป์ท้องถิ่น,music,performing_arts
ปรศุราม,อวตารปางหนึ่งของพระนารายณ์ผู้ใช้ขวานเป็นอาวุธ,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,นามานุกรมและประเภทตัวละคร,เทวปกรณ์ อสูร และอมนุษย์,character,performing_arts
เครื่องแบบ,เครื่องแต่งกายที่กำหนดไว้เป็นระเบียบตามสังกัดหรือบทบาท,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง,พัสตราภรณ์และเครื่องแต่งกาย,ระเบียบการแต่งกายและอาวุธจำลอง,artifact,material_culture
เพลงกลม,ชื่อเพลงหน้าพาทย์ชนิดหนึ่งใช้ประกอบกิริยาไปมาของเทวดา,ศิลปะการแสดงและดนตรี,ดุริยางคศิลป์และคีตศิลป์,ระเบียบวิธีทางดนตรีและประเภทบทเพลง,music,performing_arts
สีทอง,สีที่เลียนแบบความสุกปลั่งของทองคำ ใช้ในงานประณีตศิลป์,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง,วัสดุและอัญมณี,วัสดุธรรมชาติและรัตนชาติ,artifact,material_culture
ปราชัย,ความพ่ายแพ้ในการรบหรือการแข่งขัน,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่,ยุคสมัยและเหตุการณ์สำคัญ,ลำดับเวลาและประวัติศาสตร์การสงคราม,concept,historical_spatial
นครพนม,ชื่อจังหวัดในภาคตะวันออกเฉียงเหนือของประเทศไทย,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่,ภูมิศาสตร์และอาณาบริเวณ,เขตปกครองและภูมิภาค,place,historical_spatial
จีนรำพัด,เพลงหน้าพาทย์หรือเพลงที่ใช้ประกอบการแสดงนาฏศิลป์ที่มีท่วงทำนองสำเนียงจีน,ศิลปะการแสดงและดนตรี,ดุริยางคศิลป์และคีตศิลป์,ระเบียบวิธีทางดนตรีและประเภทบทเพลง,music,performing_arts
สวามี,คำเรียกสามี หรือผู้เป็นเจ้าของ มักใช้ในบริบทของชนชั้นสูงหรือวรรณกรรม,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,สถานภาพและลำดับชั้นทางสังคมในวรรณกรรม,ฐานันดรศักดิ์และระบบเครือญาติ,concept,general
ไทยจิตรลดา,ชุดไทยพระราชนิยมสำหรับสตรี ใช้ในงานพิธีกลางวัน,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง,พัสตราภรณ์และเครื่องแต่งกาย,ระเบียบการแต่งกายและอาวุธจำลอง,artifact,material_culture
เถิดเทิง,การแสดงรื่นเริงชนิดหนึ่งที่มีกลองยาวเป็นเครื่องดนตรีหลัก,ศิลปะการแสดงและดนตรี,นาฏยศิลป์และการแสดง,รูปแบบการแสดงและนาฏศิลป์ท้องถิ่น,music,performing_arts
ระดับชาติ,ขอบเขตหรือสถานะที่ครอบคลุมทั้งประเทศ,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่,ภูมิศาสตร์และอาณาบริเวณ,เขตปกครองและภูมิภาค,place,historical_spatial
อนุชา,น้องชาย มักใช้ในราชาศัพท์หรือวรรณคดี,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,สถานภาพและลำดับชั้นทางสังคมในวรรณกรรม,ฐานันดรศักดิ์และระบบเครือญาติ,concept,general
ตัวต่อตัว,การเผชิญหน้าหรือการต่อสู้กันระหว่างบุคคลสองคน,ศิลปะการแสดงและดนตรี,บุคลากรและทักษะทางศิลปะ,กลวิธีและสมรรถนะการแสดง,music,performing_arts
อิเหนา,ตัวละครเอกในวรรณคดีเรื่องอิเหนา เป็นกษัตริย์วงศ์เทวา,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,นามานุกรมและประเภทตัวละคร,ตัวละครหลักและบทบาทในบทละคร,character,performing_arts
แต่งกายยืนเครื่องพระ,การแต่งกายตามแบบแผนมาตรฐานของตัวละครชาย (พระ) ในการแสดงโขนละคร,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง,พัสตราภรณ์และเครื่องแต่งกาย,ระเบียบการแต่งกายและอาวุธจำลอง,artifact,material_culture
พลับพลา,ที่ประทับชั่วคราวสำหรับพระมหากษัตริย์,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่,พื้นที่ทางวัฒนธรรมและสถาบัน,สถานที่จัดแสดงและเขตพระราชฐาน,place,historical_spatial
ผีภู,วิญญาณหรือสิ่งศักดิ์สิทธิ์ที่ปกปักรักษาภูเขา,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม,คติความเชื่อและไสยศาสตร์,การขจัดปัดเป่าและอำนาจเหนือธรรมชาติ,mythical_being,ritual_belief
สุครีพ,ตัวละครวานรในเรื่องรามเกียรติ์ เป็นพญาวานรครองเมืองขีดขิน,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,นามานุกรมและประเภทตัวละคร,เทวปกรณ์ อสูร และอมนุษย์,character,performing_arts
