word,cluster_label,cluster_size
คู่ต่อสู้,2,198
เจ้าหญิง,1,223
เชษฐา,1,223
อินทราภิเษก,3,214
จับนาง,3,214
ขุนช้าง,3,214
ติดมือ,0,265
ศรนาคบาศ,3,214
ตารีบุหงา,3,214
ปรศุราม,3,214
เครื่องแบบ,0,265
เพลงกลม,1,223
สีทอง,2,198
ปราชัย,1,223
นครพนม,3,214
แต่งตัว,1,223
หญิงสาว,1,223
ศิลปะป้องกันตัว,1,223
นักษัตร,0,265
ชุมนุม,2,198
วิรุณจำบัง,2,198
สี่ภาค,0,265
พระพุทธรูป,0,265
สุรินทร์,2,198
ภูเขา,0,265
เข้าเฝ้า,3,214
วาดภาพ,3,214
เพลงรำซิมารำ,0,265
ฝั่งน้ำ,0,265
มือเปล่า,2,198
โบราณวัตถุ,1,223
นางเอก,1,223
มโนราห์,1,223
แกล้งทำ,1,223
องค์ปะตาระกาหลา,0,265
สมัยศรีวิชัย,0,265
สัตว์น้ำ,3,214
ศิลปหัตถกรรม,1,223
สายสืบ,2,198
ดนตรีพื้นบ้าน,3,214
เพลงงามแสงเดือน,3,214
ขับไล่,2,198
ของที่ระลึก,3,214
พระราชพิธี,0,265
ชาวเขา,0,265
จีนรำพัด,0,265
สวามี,3,214
ไทยจิตรลดา,1,223
เถิดเทิง,2,198
ระดับชาติ,0,265
อนุชา,1,223
ตัวต่อตัว,0,265
อิเหนา,2,198
แต่งกายยืนเครื่องพระ,1,223
พลับพลา,0,265
ผีภู,3,214
สุครีพ,1,223
วาจา,1,223
ขับลำ,0,265
ไหว้ครู,0,265
พระเจ้าบรมวงศ์เธอกรมพระนราธิปประพันธ์พงศ์,0,265
สมัยลพบุรี,0,265
แผ่อิทธิพล,2,198
การศึก,0,265
ต้นรัง,0,265
สำเภา,3,214
กลองยาว,0,265
นายขวัญ,0,265
ไส้กะลา,0,265
ได้ยิน,1,223
มารดา,0,265
มรกต,3,214
พระบาทสมเด็จพระจอมเกล้าเจ้าอยู่หัว,0,265
สิ่งศักดิ์สิทธิ์,0,265
กสิกรรม,0,265
ละครชาตรี,0,265
พระอุโบสถ,3,214
มีแบบแผน,3,214
หล่อสำริด,2,198
เจ้าที่เจ้าทาง,0,265
ราชสำนัก,1,223
นนทก,1,223
มังกรกัณฐ์,1,223
เพลงสำเนียงลาว,1,223
ฮินดู,1,223
ของป่า,3,214
พราหมณ์,3,214
วิดน้ำ,1,223
รับอาสา,1,223
อสูร,2,198
เพทาย,3,214
เครื่องดนตรีตะวันตก,0,265
ขึ้นทะเบียน,0,265
สังข์ทอง,0,265
เทพบุตร,0,265
มโนห์รา,1,223
เพลงสากล,3,214
บุหรงซีงอ,2,198
สุทธาวาส,1,223
อาหาร,0,265
ปางลีลา,1,223
เขาอังกาศ,1,223
พระยา,0,265
กรุงเทพมหานคร,0,265
ไทยรามัญ,0,265
ชาวพื้นเมือง,2,198
จิตรกรรม,1,223
นครราชสีมา,1,223
แหลมมลายู,1,223
พระพี่เลี้ยง,0,265
ดวงแก้ว,0,265
กราววีรชัยลิง,3,214
สะล้อ,2,198
สกลนคร,2,198
กลองสะบัดชัย,2,198
มุสลิม,3,214
ชั้นเดียว,2,198
พระศิวะ,2,198
กรุงลงกา,2,198
ต่อสู้,2,198
ทับหลัง,0,265
ระบำโบราณคดี,0,265
เกียรติศักดิ์ไทย,3,214
โรงละครแห่งชาติ,2,198
ทศกัณฐ์,0,265
โบราณสถาน,3,214
เพลงดวงจันทร์ขวัญฟ้า,2,198
หอกโมกขศักดิ์,2,198
รูปทอง,0,265
พระจันทร์,0,265
นางสีดา,0,265
ผ้าไหม,3,214
พระลาน,0,265
อัญมณี,2,198
ข้าศึก,0,265
ชั้นเชิง,3,214
เสียงดนตรี,1,223
เจ้าดารารัศมี,0,265
พระราชวังบวรสถานมงคล,0,265
สายน้ำ,1,223
กระทุ้ง,2,198
ปารวตี,2,198
สมมุติเทพ,0,265
ทำพิธี,3,214
อุณรุท,1,223
พี่เลี้ยง,0,265
หางนกยูง,0,265
ค้าขาย,3,214
เสนียดจัญไร,2,198
ช่อดอกไม้,3,214
ชาติพันธุ์,1,223
รับใช้,3,214
พระบรมราชชนนีพับปีหลวง,0,265
ร่มพระบารมี,0,265
โคมเวียน,1,223
นายแก้ว,0,265
แปลงตัว,0,265
พระตำหนัก,0,265
พระลอ,0,265
พระนารายณ์,0,265
เพลงหญิงไทยใจงาม,1,223
ศูรปนขา,3,214
เครื่องประดับ,0,265
ทิพยวิมาน,0,265
การทำขวัญ,1,223
ขบวนแห่,2,198
เขาไกรลาส,3,214
จำแลง,0,265
หยอกล้อ,2,198
ลาวครั่ง,0,265
ยักษิณี,0,265
จนตาย,0,265
เบิกโรง,3,214
การร่อนแร่,3,214
แตกทัพ,0,265
อาวุธ,1,223
ผู้แสดงฝ่ายชาย,3,214
พระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว,0,265
เชิงบันได,0,265
สะเดาะเคราะห์,3,214
วสันตฤดู,0,265
เมืองขีดขิน,2,198
เบญกาย,0,265
เพลงเร็ว,3,214
พลวานร,1,223
ท้าวสัทธาสูร,0,265
บุปเพสันนิวาส,1,223
พระพาย,0,265
กะลา,2,198
อินทรชิต,1,223
บรรพต,1,223
ดินดาล,0,265
ทำนองเพลง,3,214
ขนเพชร,3,214
ธิเบศร์,3,214
มวยไทย,3,214
จับระบำ,1,223
ไตรรงค์,3,214
พระราม,2,198
คู่ใจ,0,265
การุณราช,0,265
พุทธศตวรรษ,3,214
แสงจันทร์,0,265
เทือกเขาภูพาน,0,265
แม่ฮ่องสอน,1,223
ทับทิม,0,265
หมากกั๊บแก๊บ,2,198
วิรุญมุข,1,223
เจ้าเซ็น,0,265
ภาชนะดินเผา,1,223
สะเดาะ,3,214
สิบแปดมงกุฎ,0,265
ข้าหลวง,3,214
ไม้สั้น,0,265
ไทยจักรี,2,198
ต้นขา,2,198
ปัดเป่า,1,223
การสอน,3,214
แหล่งน้ำ,1,223
ศุภลักษณ์,1,223
เพลงชำนาญ,2,198
แควน้อย,1,223
พระไวย,2,198
มือซ้าย,0,265
อินเดีย,3,214
สากตำข้าว,3,214
พระแพง,0,265
ธงไทย,2,198
พระคเณศ,1,223
นางโรย,3,214
รับสั่ง,1,223
ละครพันทาง,3,214
อุษา,1,223
พืชพรรณ,3,214
ทำนอง,3,214
ธัญญาหาร,2,198
ชาวเหนือ,0,265
พญาทูษณ์,1,223
พระเอก,1,223
เทพธิดา,2,198
ยูเนสโก,2,198
สมัยทวารวดี,0,265
รำคู่,3,214
ไทยศิวาลัย,3,214
พญาขร,2,198
การปั้น,3,214
ละครนอก,0,265
เครื่องดนตรีพื้นบ้าน,0,265
เพลงยอดชายใจหาญ,1,223
อีสาน,2,198
ออกศึก,0,265
พระแม่คงคา,0,265
กลอุบาย,2,198
พระอุมา,2,198
คำร้อง,1,223
ไทยจีน,3,214
ปัตตานี,3,214
ขับร้อง,3,214
ผู้มีพระคุณ,0,265
บริวาร,1,223
กุณฑล,1,223
พระสังข์,0,265
กระทบไม้,3,214
ริมแม่น้ำ,1,223
ออกเดินทาง,2,198
มเหสี,2,198
การขับร้อง,3,214
เพลงชาวไทย,1,223
ตารีกีปัส,2,198
งานประติมากรรม,3,214
สมทบ,1,223
ทัพหน้า,0,265
ฟาดฟัน,2,198
เต้นสาก,3,214
บอกทาง,0,265
การตีกลอง,0,265
นางรื่น,1,223
ย่านาง,0,265
ช้างเอราวัณ,2,198
กราบทูล,2,198
สมรภูมิ,3,214
หมดแรง,1,223
ตำนาน,1,223
รังควาญ,1,223
ลำเพลิน,2,198
ฟันปลา,2,198
เมืองชมพู,0,265
สิ้นชีพ,0,265
วันวาน,3,214
พิธีทางศาสนา,0,265
ล้านนา,3,214
อวตาร,3,214
เทวดา,0,265
ตารี,3,214
กองไฟ,3,214
ปราสาทพนมรุ้ง,2,198
อิทธิฤทธิ์,0,265
สิ้นชีวิต,2,198
กลับบ้าน,1,223
เพลงลาวคำหอม,3,214
เครื่องประกอบจังหวะ,0,265
พระพรหม,0,265
ทอผ้า,3,214
พลลิง,0,265
พระสวามี,2,198
แม่น้ำโขง,1,223
กองทัพ,0,265
ไพฑูรย์,2,198
ลอยน้ำ,3,214
หน้าบัน,1,223
กรุงเทพ,0,265
นางกินรี,1,223
การรบ,0,265
วานรินทร์,0,265
ไฟไหม้,2,198
ออกรบ,0,265
กลุ่มชาติพันธุ์,1,223
ขี่ม้า,2,198
น้ำมันยาง,3,214
มีฤทธิ์,2,198
ฉลองพระองค์,0,265
สมัยสุโขทัย,1,223
พระอินทร์,0,265
การต่อสู้,2,198
พระนิพนธ์,1,223
การโปรย,1,223
ดาวดึงส์,0,265
กลางคืน,0,265
เพลงฟ้อนดวงดอกไม้,3,214
ดนตรีไทย,1,223
ชาวภูไท,0,265
องคต,1,223
ลาวเวียง,0,265
ละครเสภา,3,214
มวยโบราณ,0,265
ป้องกันตัว,2,198
ลิลิตพระลอ,1,223
อยุธยา,3,214
หน่อไม้,0,265
รำมาตรฐาน,2,198
จองถนน,2,198
ทหารเอก,2,198
สอดแทรก,1,223
นางพญาคำปิน,2,198
ท้าวพิชัยพิษณุกร,0,265
เพลงดวงจันทร์วันเพ็ญ,3,214
นิ้วเพชร,2,198
ขีดขิน,0,265
พื้นบ้านภาคใต้,3,214
พิเภก,2,198
ไทยดุสิต,2,198
การดีด,1,223
ขุนแผน,0,265
รัชฎา,2,198
ท้าวลัสเตียน,3,214
พระอิศวร,0,265
เขี้ยวแก้ว,0,265
กิจจะ,0,265
ตะเขิ่ง,2,198
ภาคกลาง,3,214
ขอขมา,3,214
ภาคตะวันออกเฉียงเหนือ,0,265
มลายู,3,214
ไทยทรงดำ,2,198
มุกดาหาร,2,198
พระองค์,1,223
ละครใน,3,214
กุลสตรี,2,198
ฤาษี,0,265
เพลงมอญดูดาว,2,198
บุษราคัม,3,214
