word,definition,lvl1,lvl2,lvl3,entity_type,context_tag
โบราณวัตถุ,วัตถุที่สร้างขึ้นในอดีตและมีคุณค่าทางประวัติศาสตร์หรือวัฒนธรรม,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง,ประณีตศิลป์และทัศนศิลป์,งานช่างศิลปกรรมและเทคนิควิธี,artifact,historical_spatial
นางเอก,ตัวละครหญิงหลักในวรรณคดีหรือการแสดง,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,นามานุกรมและประเภทตัวละคร,เทวปกรณ์ อสูร และอมนุษย์,character,performing_arts
มโนราห์,การแสดงพื้นบ้านภาคใต้ของไทย,ศิลปะการแสดงและดนตรี,นาฏยศิลป์และการแสดง,กระบวนท่ารำและจารีตการแสดง,music,performing_arts
แกล้งทำ,การแสดงท่าทางที่ไม่ตรงกับความรู้สึกจริง,ศิลปะการแสดงและดนตรี,นาฏยศิลป์และการแสดง,กระบวนท่ารำและจารีตการแสดง,music,performing_arts
องค์ปะตาระกาหลา,ชื่อเทวดาหรือสิ่งศักดิ์สิทธิ์ในความเชื่อ,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม,ระบบความเชื่อและศาสนา,คติทางศาสนาและสิ่งศักดิ์สิทธิ์,deity,ritual_belief
สมัยศรีวิชัย,ยุคประวัติศาสตร์ในเอเชียตะวันออกเฉียงใต้,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่,ยุคสมัยและเหตุการณ์สำคัญ,ลำดับเวลาและประวัติศาสตร์การสงคราม,concept,historical_spatial
สัตว์น้ำ,สัตว์ที่อาศัยอยู่ในน้ำ,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,นามานุกรมและประเภทตัวละคร,เทวปกรณ์ อสูร และอมนุษย์,character,performing_arts
ศิลปหัตถกรรม,งานศิลปะที่ทำด้วยมือ,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง,ประณีตศิลป์และทัศนศิลป์,งานช่างศิลปกรรมและเทคนิควิธี,artifact,material_culture
สายสืบ,บุคคลที่ทำหน้าที่สืบหาข้อมูล,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต,อัตลักษณ์ทางสังคมและกลุ่มคน,กลุ่มชาติพันธุ์และชุมชนท้องถิ่น,community,community_life
ดนตรีพื้นบ้าน,ดนตรีที่สืบทอดกันมาในท้องถิ่น,ศิลปะการแสดงและดนตรี,นาฏยศิลป์และการแสดง,กระบวนท่ารำและจารีตการแสดง,music,performing_arts
เพลงงามแสงเดือน,ชื่อเพลงไทยเดิม,ศิลปะการแสดงและดนตรี,นาฏยศิลป์และการแสดง,กระบวนท่ารำและจารีตการแสดง,music,performing_arts
ขับไล่,การทำให้ออกไปหรือห่างไกล,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม,ระบบความเชื่อและศาสนา,คติทางศาสนาและสิ่งศักดิ์สิทธิ์,deity,ritual_belief
ของที่ระลึก,วัตถุที่ทำขึ้นเพื่อเตือนความทรงจำ,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง,ประณีตศิลป์และทัศนศิลป์,งานช่างศิลปกรรมและเทคนิควิธี,artifact,material_culture
พระราชพิธี,พิธีกรรมที่เกี่ยวข้องกับพระมหากษัตริย์,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม,ระบบความเชื่อและศาสนา,คติทางศาสนาและสิ่งศักดิ์สิทธิ์,deity,ritual_belief
ชาวเขา,กลุ่มคนที่อาศัยอยู่ในพื้นที่ภูเขา,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต,อัตลักษณ์ทางสังคมและกลุ่มคน,กลุ่มชาติพันธุ์และชุมชนท้องถิ่น,community,community_life
แต่งตัว,การสวมใส่เสื้อผ้าและเครื่องประดับเพื่อความสวยงามหรือตามโอกาส,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง,พัสตราภรณ์และเครื่องแต่งกาย,ระเบียบการแต่งกายและอาวุธจำลอง,artifact,material_culture
หญิงสาว,ผู้หญิงที่อยู่ในวัยหนุ่มสาว,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต,อัตลักษณ์ทางสังคมและกลุ่มคน,กลุ่มชาติพันธุ์และชุมชนท้องถิ่น,community,community_life
ศิลปะป้องกันตัว,ทักษะการต่อสู้เพื่อป้องกันตนเอง,ศิลปะการแสดงและดนตรี,นาฏยศิลป์และการแสดง,กระบวนท่ารำและจารีตการแสดง,music,performing_arts
นักษัตร,ปีตามปฏิทินจีนที่แบ่งเป็น 12 ปี แต่ละปีมีสัตว์เป็นสัญลักษณ์,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม,คติความเชื่อและไสยศาสตร์,การขจัดปัดเป่าและอำนาจเหนือธรรมชาติ,mythical_being,ritual_belief
ชุมนุม,การรวมตัวกันของกลุ่มคนเพื่อวัตถุประสงค์เฉพาะ,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต,อัตลักษณ์ทางสังคมและกลุ่มคน,กลุ่มชาติพันธุ์และชุมชนท้องถิ่น,community,community_life
วิรุณจำบัง,เทพเจ้าแห่งฝนในความเชื่อไทย,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,นามานุกรมและประเภทตัวละคร,เทวปกรณ์ อสูร และอมนุษย์,character,performing_arts
สี่ภาค,การแบ่งเขตพื้นที่ประเทศไทยออกเป็น 4 ภาคหลัก,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่,ภูมิศาสตร์และอาณาบริเวณ,เขตปกครองและภูมิภาค,place,historical_spatial
พระพุทธรูป,รูปปั้นหรือรูปจำลองของพระพุทธเจ้า,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง,สถาปัตยกรรมและพุทธศิลป์,ศาสนสถานและปูชนียวัตถุ,artifact,material_culture
