word,cluster_label,cluster_size
คู่ต่อสู้,2,198
เจ้าหญิง,1,223
เชษฐา,1,223
อินทราภิเษก,3,214
จับนาง,3,214
ขุนช้าง,3,214
คุณูปการ,0,265
ติดมือ,0,265
ตัวตน,3,214
หลักฐาน,3,214
ขนบธรรมเนียมประเพณี,0,265
ศรนาคบาศ,3,214
อุบาย,3,214
ตารีบุหงา,3,214
นิมิต,3,214
ปรศุราม,3,214
เครื่องแบบ,0,265
เครื่องมือ,0,265
เพลงกลม,1,223
ปราชัย,1,223
อาณาจักร,2,198
นครพนม,3,214
แต่งตัว,1,223
นักษัตร,0,265
วิรุณจำบัง,2,198
สี่ภาค,0,265
พระพุทธรูป,0,265
ภูเขา,0,265
เข้าเฝ้า,3,214
วาดภาพ,3,214
เพลงรำซิมารำ,0,265
เชื้อชาติ,0,265
ฝั่งน้ำ,0,265
มือเปล่า,2,198
โบราณวัตถุ,1,223
การละเล่น,0,265
บุคคล,3,214
มโนราห์,1,223
แกล้งทำ,1,223
องค์ปะตาระกาหลา,0,265
โลดโผน,3,214
สัตว์น้ำ,3,214
จีนรำพัด,0,265
สวามี,3,214
อนุชา,1,223
ตัวต่อตัว,0,265
แต่งกายยืนเครื่องพระ,1,223
พลับพลา,0,265
แห่งชาติ,2,198
สุครีพ,1,223
ความมีน้ำใจ,3,214
ขับลำ,0,265
ไหว้ครู,0,265
พระเจ้าบรมวงศ์เธอกรมพระนราธิปประพันธ์พงศ์,0,265
สมัยลพบุรี,0,265
การศึก,0,265
ต้นรัง,0,265
สำเภา,3,214
กลองยาว,0,265
อาภรณ์,1,223
นายขวัญ,0,265
ไส้กะลา,0,265
ได้ยิน,1,223
มารดา,0,265
มูลเหตุ,1,223
มรกต,3,214
พระบาทสมเด็จพระจอมเกล้าเจ้าอยู่หัว,0,265
ที่มา,0,265
สิ่งศักดิ์สิทธิ์,0,265
กสิกรรม,0,265
ละครชาตรี,0,265
มีแบบแผน,3,214
เจ้าที่เจ้าทาง,0,265
แนวความคิด,2,198
ฟ้อนรำ,0,265
ผู้หญิง,1,223
ระบำ,0,265
เพทาย,3,214
เครื่องดนตรีตะวันตก,0,265
ขึ้นทะเบียน,0,265
นิสัย,0,265
สังข์ทอง,0,265
รุ่นหลัง,2,198
เทพบุตร,0,265
เข้าพบ,1,223
แผ่นดิน,2,198
ทิศตะวันตก,0,265
ปางลีลา,1,223
เขาอังกาศ,1,223
พระยา,0,265
กรุงเทพมหานคร,0,265
ไทยรามัญ,0,265
จิตรกรรม,1,223
พระพี่เลี้ยง,0,265
ดวงแก้ว,0,265
อ่อนช้อย,0,265
สกลนคร,2,198
สำนึก,1,223
ศักดิ์สิทธิ์,0,265
กรุงลงกา,2,198
ต่อสู้,2,198
ทับหลัง,0,265
ระบำโบราณคดี,0,265
การเดินทาง,2,198
ทศกัณฐ์,0,265
มีอายุ,0,265
รูปทอง,0,265
ผู้เชี่ยวชาญ,2,198
พระจันทร์,0,265
นางสีดา,0,265
ภาษา,0,265
พระลาน,0,265
ข้าศึก,0,265
เจ้าดารารัศมี,0,265
ภูมิปัญญา,3,214
พระราชวังบวรสถานมงคล,0,265
สายน้ำ,1,223
ต้นแบบ,1,223
สมมุติเทพ,0,265
เนื้อเรื่อง,0,265
อุณรุท,1,223
พี่เลี้ยง,0,265
หางนกยูง,0,265
ความร่มเย็น,3,214
ผู้แสดง,3,214
ชาติพันธุ์,1,223
บัญชา,2,198
การแปร,1,223
การดำเนินชีวิต,2,198
รับใช้,3,214
พระบรมราชชนนีพับปีหลวง,0,265
ร่มพระบารมี,0,265
โคมเวียน,1,223
การร้อง,1,223
นายแก้ว,0,265
แปลงตัว,0,265
พระตำหนัก,0,265
พระลอ,0,265
พระนารายณ์,0,265
ตัวละคร,1,223
เพลงหญิงไทยใจงาม,1,223
ศูรปนขา,3,214
กระบวน,1,223
เครื่องประดับ,0,265
ทิพยวิมาน,0,265
พาหนะ,1,223
การทำขวัญ,1,223
เขาไกรลาส,3,214
จำแลง,0,265
ผู้ประดิษฐ์,1,223
ร่างกาย,0,265
อุปสรรค,1,223
ลาวครั่ง,0,265
ยักษิณี,0,265
จนตาย,0,265
เบิกโรง,3,214
ผู้ชม,1,223
แตกทัพ,0,265
นาฏศิลป์พื้นบ้าน,1,223
อาวุธ,1,223
ประกอบอาชีพ,3,214
ผู้แสดงฝ่ายชาย,3,214
ร่มเย็น,2,198
พระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว,0,265
เชิงบันได,0,265
สะเดาะเคราะห์,3,214
วสันตฤดู,0,265
เมืองขีดขิน,2,198
ท้าวสัทธาสูร,0,265
ธิเบศร์,3,214
จับระบำ,1,223
การุณราช,0,265
แสงจันทร์,0,265
ขั้นตอน,0,265
เทือกเขาภูพาน,0,265
แม่ฮ่องสอน,1,223
ทับทิม,0,265
เจ้าเซ็น,0,265
สะเดาะ,3,214
โบราณ,0,265
สิบแปดมงกุฎ,0,265
ไม้สั้น,0,265
ต้นขา,2,198
ปัดเป่า,1,223
กระบวนการ,3,214
ศุภลักษณ์,1,223
เพลงชำนาญ,2,198
แควน้อย,1,223
พระไวย,2,198
ชาวไทย,0,265
มือซ้าย,0,265
อินเดีย,3,214
มาจาก,1,223
นางโรย,3,214
โอกาส,3,214
อุษา,1,223
การหลอมรวม,1,223
พืชพรรณ,3,214
ทำนอง,3,214
พบปะ,3,214
ชาวเหนือ,0,265
พญาทูษณ์,1,223
นำเสนอ,3,214
เอาชนะ,2,198
พระเอก,1,223
เทพธิดา,2,198
ยูเนสโก,2,198
สมัยทวารวดี,0,265
ไทยศิวาลัย,3,214
เพลงยอดชายใจหาญ,1,223
พระอุมา,2,198
สัญลักษณ์,2,198
สมัยโบราณ,3,214
ปัตตานี,3,214
ผู้มีพระคุณ,0,265
บริวาร,1,223
กุณฑล,1,223
กระทบไม้,3,214
ออกเดินทาง,2,198
มเหสี,2,198
ครั้งสุดท้าย,2,198
หล่อหลอม,1,223
วัตถุประสงค์,3,214
สมทบ,1,223
ทัพหน้า,0,265
บอกทาง,0,265
การตีกลอง,0,265
นางรื่น,1,223
ย่านาง,0,265
ผลงาน,3,214
ช้างเอราวัณ,2,198
กราบทูล,2,198
สมรภูมิ,3,214
หมดแรง,1,223
ตำนาน,1,223
สวัสดิมงคล,1,223
รังควาญ,1,223
ระยะเวลา,2,198
สิ้นชีพ,0,265
พิธีทางศาสนา,0,265
การดำรงชีวิต,3,214
หล่อเลี้ยง,3,214
ประกาศ,0,265
มหรสพ,3,214
ล้านนา,3,214
อวตาร,3,214
เทวดา,0,265
ตารี,3,214
กองไฟ,3,214
อิทธิฤทธิ์,0,265
มรดก,0,265
ความศรัทธา,0,265
พื้นที่,1,223
กลับบ้าน,1,223
เพลงลาวคำหอม,3,214
เครื่องประกอบจังหวะ,0,265
พระพรหม,0,265
คำบอกเล่า,3,214
พลลิง,0,265
ความหมาย,3,214
กองทัพ,0,265
ไพฑูรย์,2,198
ลอยน้ำ,3,214
กรุงเทพ,0,265
ประกอบการ,0,265
การรบ,0,265
วานรินทร์,0,265
ร่ายรำ,0,265
ออกรบ,0,265
กตเวที,1,223
ฉลองพระองค์,0,265
สมัยสุโขทัย,1,223
พระอินทร์,0,265
การโปรย,1,223
ดาวดึงส์,0,265
องคต,1,223
จังหวะ,0,265
ว่าการ,0,265
เลียนแบบ,2,198
มวยโบราณ,0,265
ลิลิตพระลอ,1,223
อยุธยา,3,214
สอดแทรก,1,223
นางพญาคำปิน,2,198
ท้าวพิชัยพิษณุกร,0,265
เพลงดวงจันทร์วันเพ็ญ,3,214
วัตถุดิบ,1,223
ขีดขิน,0,265
พื้นบ้านภาคใต้,3,214
บิดา,0,265
ขุนแผน,0,265
รัชฎา,2,198
ท้าวลัสเตียน,3,214
ประวัติศาสตร์,0,265
พระอิศวร,0,265
เขี้ยวแก้ว,0,265
กิจจะ,0,265
ตะวันตก,3,214
เรื่องใหญ่,3,214
ภาคกลาง,3,214
ขอขมา,3,214
ภาคตะวันออกเฉียงเหนือ,0,265
มลายู,3,214
มุกดาหาร,2,198
พระองค์,1,223
ละครใน,3,214
กุลสตรี,2,198
ฤาษี,0,265
บุษราคัม,3,214
ชื่อเรื่อง,1,223
ดนตรี,0,265
บินหนี,1,223
ภาคอีสาน,2,198
แม่บท,1,223
ข่ายเหล็ก,0,265
ตัวจริง,1,223
ความร้อน,1,223
การขับ,0,265
ฝากตัว,0,265
นางใน,1,223
ฝ่ามือ,0,265
บุรี,3,214
ภารตนาฏยัม,2,198
มัยราพณ์,2,198
น้องสาว,2,198
วาดรูป,0,265
ภาพจิตรกรรมฝาผนัง,1,223
ทำนาย,3,214
ให้ร้าย,2,198
นครปฐม,1,223
สำมนักขา,0,265
ลำตังหวาย,2,198
สัทธาสูร,0,265
การออกไป,0,265
หลักราชการ,0,265
ให้การ,3,214
เพลงดอกไม้ของชาติ,0,265
ตำรา,0,265
ความทรงจำ,2,198
ไทยเรือนต้น,0,265
ศรัทธา,0,265
นางอัปสราบายน,3,214
ศรพาลจันทร์,2,198
แสงอาทิตย์,0,265
กลางอากาศ,3,214
ต้นลีลาวดี,0,265
มหาสมุทร,1,223
กินรี,1,223
ปกป้อง,3,214
อาณาประชาราษฎร์,3,214
ระบำมาตรฐาน,0,265
เกราะลอ,1,223
เมขลา,1,223
บุรีรัมย์,1,223
สีแดง,1,223
ฉุยฉาย,3,214
เทพเจ้า,2,198
รำลึก,2,198
ทะเล,3,214
กินเนสส์บุ๊ค,1,223
พระญาติ,0,265
กลายร่าง,0,265
ขัดตาทัพ,2,198
ถอยทัพ,2,198
ท้องทะเล,3,214
ใบชา,0,265
ตะกร้อ,0,265
อาสา,0,265
ตีลังกา,1,223
บรรพบุรุษ,3,214
การเคลื่อนไหว,0,265
เคลื่อนไหว,0,265
โปงลาง,0,265
ชาวนา,0,265
วิชนี,0,265
จำกาย,0,265
วิธี,0,265
