word,definition,lvl1,lvl2,lvl3,entity_type,context_tag
คู่ต่อสู้,ผู้ที่ต่อสู้หรือแข่งขันกับอีกฝ่ายหนึ่ง,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,นามานุกรมและประเภทตัวละคร,ตัวละครหลักและบทบาทในบทละคร,character,performing_arts
เจ้าหญิง,ผู้หญิงที่มีฐานันดรศักดิ์เป็นเจ้า,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,สถานภาพและลำดับชั้นทางสังคมในวรรณกรรม,ฐานันดรศักดิ์และระบบเครือญาติ,concept,general
เชษฐา,พี่ชายหรือพี่สาวที่มีฐานันดรศักดิ์สูงกว่า,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,สถานภาพและลำดับชั้นทางสังคมในวรรณกรรม,ฐานันดรศักดิ์และระบบเครือญาติ,concept,general
อินทราภิเษก,พิธีราชาภิเษกของพระเจ้าแผ่นดิน,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม,จารีตประเพณีและพิธีกรรม,พิธีการสำคัญและจารีตทางสังคม,ritual,ritual_belief
จับนาง,การจับตัวหญิงในวรรณคดีหรือพิธีกรรม,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม,จารีตประเพณีและพิธีกรรม,พิธีการสำคัญและจารีตทางสังคม,ritual,ritual_belief
ขุนช้าง,ตัวละครในวรรณคดีไทยที่มีบทบาทสำคัญ,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,นามานุกรมและประเภทตัวละคร,ตัวละครหลักและบทบาทในบทละคร,character,performing_arts
ติดมือ,การติดอาวุธหรือเครื่องมือในการต่อสู้,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง,พัสตราภรณ์และเครื่องแต่งกาย,ระเบียบการแต่งกายและอาวุธจำลอง,artifact,material_culture
ศรนาคบาศ,อาวุธที่ใช้ในการต่อสู้ในวรรณคดี,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง,พัสตราภรณ์และเครื่องแต่งกาย,ระเบียบการแต่งกายและอาวุธจำลอง,artifact,material_culture
ตารีบุหงา,เครื่องประดับที่ใช้ในพิธีกรรมหรือการแสดง,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง,พัสตราภรณ์และเครื่องแต่งกาย,ระเบียบการแต่งกายและอาวุธจำลอง,artifact,material_culture
ปรศุราม,ตัวละครในวรรณคดีที่มีบทบาทสำคัญ,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,นามานุกรมและประเภทตัวละคร,ตัวละครหลักและบทบาทในบทละคร,character,performing_arts
เครื่องแบบ,ชุดที่ใช้ในการแต่งกายตามระเบียบหรือพิธีกรรม,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง,พัสตราภรณ์และเครื่องแต่งกาย,ระเบียบการแต่งกายและอาวุธจำลอง,artifact,material_culture
เพลงกลม,ประเภทของบทเพลงที่มีลักษณะเฉพาะ,ศิลปะการแสดงและดนตรี,ดุริยางคศิลป์และคีตศิลป์,ระเบียบวิธีทางดนตรีและประเภทบทเพลง,music,performing_arts
สีทอง,สีที่มีลักษณะเป็นสีเหลืองสว่างเหมือนทองคำ,วัฒนธรรมวัตถุ ศิลปกรรม และงานช่าง,วัสดุและอัญมณี,วัสดุธรรมชาติและรัตนชาติ,artifact,material_culture
ปราชัย,การแพ้หรือถูกเอาชนะ,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,นามานุกรมและประเภทตัวละคร,ตัวละครหลักและบทบาทในบทละคร,character,performing_arts
นครพนม,ชื่อเมืองในประเทศไทย,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่,ภูมิศาสตร์และอาณาบริเวณ,เขตปกครองและภูมิภาค,place,historical_spatial
จีนรำพัด,การแสดงนาฏศิลป์แบบจีนที่ใช้พัดเป็นอุปกรณ์,ศิลปะการแสดงและดนตรี,นาฏยศิลป์และการแสดง,รูปแบบการแสดงและนาฏศิลป์ท้องถิ่น,music,performing_arts
สวามี,สามีหรือคู่ชีวิตของผู้หญิง,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต,โครงสร้างสังคมและบุคคลสำคัญ,ฐานันดรศักดิ์และบทบาททางสังคม,community,community_life
ไทยจิตรลดา,ชื่อของพระองค์ในพระบรมวงศานุวงศ์ไทย,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่,ยุคสมัยและเหตุการณ์สำคัญ,ลำดับเวลาและประวัติศาสตร์การสงคราม,concept,historical_spatial
เถิดเทิง,คำที่ใช้ในวรรณคดีเพื่อบ่งบอกถึงการเล่าเรื่องหรือการบรรยาย,วรรณคดีและสิ่งมีชีวิตเชิงตำนาน,นามานุกรมและประเภทตัวละคร,ตัวละครหลักและบทบาทในบทละคร,character,performing_arts
ระดับชาติ,ระดับที่เกี่ยวข้องกับประเทศหรือชาติ,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่,ยุคสมัยและเหตุการณ์สำคัญ,ลำดับเวลาและประวัติศาสตร์การสงคราม,concept,historical_spatial
อนุชา,น้องชายหรือน้องสาว,กลุ่มชาติพันธุ์ ชุมชน และวิถีชีวิต,โครงสร้างสังคมและบุคคลสำคัญ,ฐานันดรศักดิ์และบทบาททางสังคม,community,community_life
ตัวต่อตัว,การพบกันหรือการต่อสู้แบบหนึ่งต่อหนึ่ง,ศิลปะการแสดงและดนตรี,นาฏยศิลป์และการแสดง,กระบวนท่ารำและจารีตการแสดง,music,performing_arts
อิเหนา,ชื่อเรียกประเทศอินโดนีเซียในภาษาไทย,บริบทเชิงประวัติศาสตร์ ภูมิศาสตร์ และพื้นที่,ภูมิศาสตร์และอาณาบริเวณ,เขตปกครองและภูมิภาค,character,historical_spatial
แต่งกายยืนเครื่องพระ,การแต่งกายเพื่อประกอบพิธีกรรมทางศาสนา,พิธีกรรม ความเชื่อ และจารีตวัฒนธรรม,จารีตประเพณีและพิธีกรรม,พิธีการสำคัญและจารีตทางสังคม,ritual,ritual_belief
